rank,movie,year,rating,num_reviews
1,Hocus Pocus 2,2022,6.1,27864
2,Blonde,2022,5.5,37019
3,Hocus Pocus,1993,6.9,134107
4,Smile,2022,6.9,19053
5,The Super Mario Bros. Movie,2023,0.0,0
6,Bullet Train,2022,7.4,129494
7,Don't Worry Darling,2022,6.3,30141
8,Black Panther: Wakanda Forever,2022,0.0,0
9,Amsterdam,2022,6.2,6023
10,Hellraiser,2022,6.2,14652
11,Bros,2022,7.0,10091
12,Mr. Harrigan's Phone,2022,6.0,11750
13,The Munsters,2022,4.6,6570
14,The Greatest Beer Run Ever,2022,6.8,8495
15,Lou,2022,6.1,15789
16,Luckiest Girl Alive,2022,6.4,12271
17,Top Gun: Maverick,2022,8.4,395956
18,X,2022,6.6,73249
19,Last Seen Alive,2022,5.6,14335
20,The Woman King,2022,6.6,18189
21,Vesper,2022,6.1,7600
22,Thor: Love and Thunder,2022,6.4,282347
23,Jeepers Creepers: Reborn,2022,2.4,4327
24,Barbarian,2022,7.6,15186
25,Black Adam,2022,0.0,0
26,Avatar: The Way of Water,2022,0.0,0
27,Do Revenge,2022,6.4,26784
28,Halloween Ends,2022,0.0,0
29,Entergalactic,2022,7.5,4513
30,Fall,2022,6.4,32705
31,Emancipation,2022,0.0,0
32,Vikram Vedha,2022,7.2,13671
33,Pearl,2022,7.5,6324
34,Violent Night,2022,0.0,0
35,DC League of Super-Pets,2022,7.4,54786
36,Inheritance,2020,5.5,14601
37,Ponniyin Selvan,2022,8.4,22357
38,Where the Crawdads Sing,2022,7.1,40846
39,Elvis,2022,7.5,131561
40,Avatar,2009,7.8,1234997
41,Everything Everywhere All at Once,2022,8.1,218508
42,Nope,2022,6.9,136345
43,Hellraiser,1987,6.9,123929
44,Ticket to Paradise,2022,6.4,6715
45,Significant Other,2022,5.7,1902
46,Bones and All,2022,7.0,652
47,Triangle of Sadness,2022,7.9,4667
48,Terrifier 2,2022,7.5,1084
49,See How They Run,2022,6.7,10116
50,Athena,2022,6.8,8462
51,Top Gun,1986,6.9,429673
52,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1851953
53,The Black Phone,2021,7.0,117731
54,Bodies Bodies Bodies,2022,6.4,20414
55,Dahmer,2002,5.6,10836
56,My Friend Dahmer,2017,6.2,20968
57,Pinocchio,2022,5.1,28344
58,Halloween,1978,7.7,273543
59,The Wonder,2022,7.2,229
60,TÃ¡r,2022,8.2,697
61,"Lyle, Lyle, Crocodile",2022,6.4,594
62,Prey,2022,7.2,170252
63,The Godfather,1972,9.2,1836496
64,Memory,2022,5.7,19546
65,My Best Friend's Exorcism,2022,5.3,2560
66,God's Country,2022,5.6,1408
67,The Batman,2022,7.9,606429
68,Dead for a Dollar,2022,5.1,1146
69,Babylon,2022,0.0,0
70,After Ever Happy,2022,4.4,3722
71,The Banshees of Inisherin,2022,8.3,764
72,The Gray Man,2022,6.5,179592
73,Jurassic World Dominion,2022,5.7,140789
74,Kantara,2022,9.6,12215
75,Three Thousand Years of Longing,2022,6.8,24003
76,Till,2022,7.4,86
77,Glass Onion: A Knives Out Mystery,2022,8.0,782
78,The Invitation,2022,5.2,10623
79,Beetlejuice,1988,7.5,299796
80,Interview with the Vampire: The Vampire Chronicles,1994,7.5,322288
81,Midsommar,2019,7.1,312012
82,Deadpool 3,2024,0.0,0
83,The Whale,2022,8.8,2977
84,Speak No Evil,2022,6.6,11168
85,American Psycho,2000,7.6,602273
86,The Shawshank Redemption,1994,9.3,2649352
87,Super Mario Bros.,1993,4.1,54796
88,Scream,2022,6.3,106256
89,Rogue One: A Star Wars Story,2016,7.8,627990
90,The Northman,2022,7.1,178260
91,Uncharted,2022,6.3,189908
92,Dune,2021,8.0,617091
93,Beast,2022,5.6,18715
94,Spider-Man: No Way Home,2021,8.3,733727
95,Catherine Called Birdy,2022,6.5,1263
96,Father Stu,2022,6.5,17003
97,Orphan: First Kill,2022,5.9,26102
98,Trick 'r Treat,2007,6.7,92758
99,Blackout,2022,3.8,328
100,A Jazzman's Blues,2022,6.7,2194
